origin,step,model,actual,pred,series
95,4,moving_avg_4w,251732.8,151337.7475,paid
95,1,holt_damped,92188.55,154106.88042843345,paid
95,2,holt_damped,104401.98,154627.59577019856,paid
95,3,holt_damped,245840.96,155143.103958546,paid
95,4,holt_damped,251732.8,155653.45706500998,paid
95,1,ridge_fourier,92188.55,155130.2180617577,paid
95,2,ridge_fourier,104401.98,168262.76237493518,paid
95,3,ridge_fourier,245840.96,199682.7761554088,paid
95,4,ridge_fourier,251732.8,137641.04480553453,paid
95,1,hgb_lags,92188.55,136040.26018767178,paid
95,2,hgb_lags,104401.98,183059.22554030517,paid
95,3,hgb_lags,245840.96,199758.09910305054,paid
95,4,hgb_lags,251732.8,150510.60226369344,paid
95,1,ensemble,92188.55,155136.27403087885,paid
95,2,ensemble,104401.98,185463.03618746757,paid
95,3,ensemble,245840.96,247420.77307770442,paid
95,4,ensemble,251732.8,190686.10740276726,paid
96,1,naive,104401.98,92188.55,paid
96,2,naive,245840.96,92188.55,paid
96,3,naive,251732.8,92188.55,paid
96,4,naive,170149.82,92188.55,paid
96,1,seasonal_naive,104401.98,202663.31,paid
96,2,seasonal_naive,245840.96,295158.77,paid
96,3,seasonal_naive,251732.8,243731.16999999998,paid
96,4,seasonal_naive,170149.82,86154.5,paid
96,1,moving_avg_4w,104401.98,129809.9775,paid
96,2,moving_avg_4w,245840.96,129809.9775,paid
96,3,moving_avg_4w,251732.8,129809.9775,paid
96,4,moving_avg_4w,170149.82,129809.9775,paid
96,1,holt_damped,104401.98,145478.8371609747,paid
96,2,holt_damped,245840.96,145913.02086936956,paid
96,3,holt_damped,251732.8,146342.8627406805,paid
96,4,holt_damped,170149.82,146768.40619327826,paid
96,1,ridge_fourier,104401.98,168620.01306895106,paid
96,2,ridge_fourier,245840.96,203193.4889920298,paid
96,3,ridge_fourier,251732.8,141844.70195715906,paid
96,4,ridge_fourier,170149.82,154865.94110089683,paid
96,1,hgb_lags,104401.98,179244.29293664012,paid
96,2,hgb_lags,245840.96,209577.4012112643,paid
96,3,hgb_lags,251732.8,166827.9845869431,paid
96,4,hgb_lags,170149.82,147025.27333500815,paid
96,1,ensemble,104401.98,185641.6615344755,paid
96,2,ensemble,245840.96,249176.1294960149,paid
96,3,ensemble,251732.8,192787.9359785795,paid
96,4,ensemble,170149.82,120510.22055044842,paid
97,1,naive,245840.96,104401.98,paid
97,2,naive,251732.8,104401.98,paid
97,3,naive,170149.82,104401.98,paid
97,4,naive,134455.87,104401.98,paid
97,1,seasonal_naive,245840.96,295158.77,paid
97,2,seasonal_naive,251732.8,243731.16999999998,paid
97,3,seasonal_naive,170149.82,86154.5,paid
97,4,seasonal_naive,134455.87,160237.43,paid
97,1,moving_avg_4w,245840.96,104733.545,paid
97,2,moving_avg_4w,251732.8,104733.545,paid
97,3,moving_avg_4w,170149.82,104733.545,paid
97,4,moving_avg_4w,134455.87,104733.545,paid
97,1,holt_damped,245840.96,139843.6994262521,paid
97,2,holt_damped,251732.8,140219.59032660513,paid
97,3,holt_damped,170149.82,140591.72231795467,paid
97,4,holt_damped,134455.87,140960.13298939067,paid
97,1,ridge_fourier,245840.96,202380.65665414627,paid
97,2,ridge_fourier,251732.8,143124.46396378442,paid
97,3,ridge_fourier,170149.82,160088.7167520643,paid
97,4,ridge_fourier,134455.87,161500.59449855375,paid
